Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%)
2005,Jharkhand,Agriculture,213.02,37.76,2.18,121.55,240.84,142.29,40.11,37505.39,9.04,154.98,28.69,56.61
2004,Manipur,Transport,140.74,38.94,11.35,160.28,207.99,204.28,22.49,60867.83,47.51,172.71,43.26,75.85
2004,Andhra Pradesh,Industry,107.31,45.58,14.21,315.89,364.17,130.46,24.97,94472.91,7.7,113.23,16.21,3.59
2021,Meghalaya,Transport,420.9,32.81,12.01,221.8,332.69,15.95,19.61,9540.57,12.55,97.75,31.17,20.96
2014,Karnataka,Industry,351.28,24.02,2.18,484.35,170.41,74.46,9.89,77520.79,38.65,92.01,60.43,69.2
2022,Tamil Nadu,Transport,65.19,19.19,17.11,12.84,7.65,126.21,42.46,5851.72,22.13,59.33,21.32,20.59
2016,Punjab,Energy,252.29,21.25,0.92,111.87,285.68,184.43,11.11,44921.47,18.53,179.43,94.35,36.25
2008,Goa,Energy,238.78,42.6,4.8,288.84,23.85,193.96,15.15,51733.31,18.77,173.75,94.98,51.64
2002,Telangana,Agriculture,79.84,49.01,12.35,440.27,114.83,188.32,29.68,55389.45,26.95,102.31,61.27,75.59
2019,Delhi,Transport,401.88,3.07,4.44,21.78,199.75,24.61,16.37,85054.33,27.22,48.49,12.87,72.27
2016,Sikkim,Transport,189.67,29.22,2.13,442.39,44.24,154.38,17.73,21444.03,16.88,182.05,38.78,49.2
2009,Meghalaya,Agriculture,383.35,26.24,10.29,256.1,273.31,106.93,0.29,44663.22,35.01,146.27,73.34,54.53
2002,Puducherry,Waste,104.11,19.12,14.48,393.81,131.94,79.07,40.07,28160.09,15.04,164.57,24.11,71.0
2017,Arunachal Pradesh,Transport,164.39,42.65,8.27,474.58,147.86,207.07,24.77,59445.57,12.75,165.54,80.38,48.98
2017,Andhra Pradesh,Transport,56.63,29.0,14.0,111.63,261.09,90.24,9.89,56256.59,43.5,37.78,0.88,19.13
2016,Telangana,Transport,80.3,16.0,17.23,296.02,162.31,46.45,35.64,78966.67,6.48,10.81,19.1,5.44
2023,Telangana,Waste,442.76,22.48,19.18,442.42,93.71,174.24,32.83,18572.03,48.52,101.05,31.53,47.48
2002,Himachal Pradesh,Energy,63.47,18.16,4.74,422.98,74.82,34.74,18.88,81792.54,28.72,93.22,96.61,61.71
2002,Sikkim,Agriculture,56.91,21.79,12.15,262.88,291.0,74.18,28.95,35503.03,46.45,64.28,75.53,56.46
2005,Kerala,Waste,470.78,4.03,5.41,475.0,301.48,111.67,33.37,57302.63,49.12,144.67,2.03,47.36
2012,Mizoram,Industry,326.49,6.04,17.43,355.68,82.3,36.28,3.19,23611.46,21.41,121.35,46.37,39.5
2023,Puducherry,Industry,59.45,31.37,17.82,264.44,131.01,72.54,20.94,48272.64,10.47,77.05,69.2,55.11
2014,Tripura,Waste,486.14,34.36,6.51,33.66,382.86,160.76,26.28,17487.3,46.91,97.64,61.84,7.03
2024,West Bengal,Waste,82.08,32.01,12.94,246.22,393.77,139.79,36.19,68840.21,42.64,107.87,46.38,42.73
2008,Delhi,Energy,385.51,38.27,17.76,213.84,236.2,211.23,19.15,5496.33,9.86,188.15,26.08,17.07
2003,Manipur,Industry,27.08,47.2,10.22,156.1,303.99,36.08,8.62,60507.49,8.43,103.56,37.36,50.17
2013,Puducherry,Agriculture,316.03,43.1,14.44,471.73,300.56,216.1,4.57,75358.54,49.54,130.9,71.09,2.62
2004,Odisha,Transport,277.88,21.22,16.04,463.22,161.25,19.83,40.49,88289.31,29.33,182.01,75.8,68.29
2001,Uttarakhand,Transport,111.92,11.27,17.45,171.96,24.13,186.11,24.01,81948.35,23.24,143.35,49.19,41.83
2010,Sikkim,Energy,325.14,15.94,10.35,220.7,297.58,52.52,11.54,89555.92,31.59,108.88,91.49,38.48
2008,Jharkhand,Energy,312.36,29.59,18.84,377.15,58.63,225.87,40.26,61831.76,41.91,80.33,95.88,73.51
2023,Delhi,Industry,401.19,42.88,12.62,418.35,119.75,11.35,40.62,6133.8,1.71,22.45,78.29,20.79
2002,Uttar Pradesh,Agriculture,439.18,35.24,3.12,59.49,129.64,145.48,32.6,97086.84,5.94,157.2,20.39,18.8
2008,Uttarakhand,Agriculture,259.95,27.38,12.29,247.94,142.89,4.19,6.09,78027.72,34.48,157.44,87.93,2.09
2002,Kerala,Waste,250.24,30.29,6.04,457.68,188.94,184.27,15.24,59720.2,34.27,194.39,45.44,6.55
2024,Maharashtra,Energy,314.58,26.65,7.5,333.97,203.14,9.4,44.14,46488.38,49.28,102.27,22.24,13.97
2001,Himachal Pradesh,Transport,367.31,48.6,16.2,273.77,195.99,182.06,6.16,10655.88,2.32,140.38,78.57,37.04
2011,Uttarakhand,Transport,184.52,40.9,19.47,360.43,69.33,202.32,35.06,2036.29,4.88,195.58,40.19,63.31
2009,Madhya Pradesh,Industry,257.27,39.17,17.41,332.41,261.28,223.99,12.88,44083.02,24.53,122.45,23.95,13.31
2008,Assam,Transport,296.7,26.11,6.58,471.41,317.14,90.49,1.81,97366.9,33.25,164.91,58.81,16.86
2014,Rajasthan,Agriculture,494.31,16.92,9.13,456.75,187.39,136.09,34.48,53048.22,13.67,82.14,11.89,35.42
2007,Delhi,Agriculture,297.98,1.47,19.67,201.9,336.14,183.65,13.32,39836.31,13.55,37.28,37.92,76.94
2024,Maharashtra,Energy,119.85,2.65,18.48,20.85,180.48,205.36,37.18,46069.88,2.91,168.6,34.68,78.74
2004,Rajasthan,Industry,298.12,2.0,19.54,169.67,229.49,195.93,18.41,30545.31,3.27,86.08,40.2,69.04
2010,Jharkhand,Transport,411.55,49.03,8.72,105.43,32.47,212.1,11.05,97697.35,5.4,148.77,44.44,1.5
2001,Meghalaya,Energy,430.13,6.17,16.03,70.12,63.0,224.51,45.51,14190.04,4.39,105.19,63.79,47.47
2023,Gujarat,Waste,402.12,7.53,17.44,444.53,308.1,162.93,17.83,69821.75,44.13,91.41,5.9,14.54
2014,Bihar,Waste,445.22,24.47,0.98,356.42,103.43,44.32,45.73,45695.61,20.95,10.3,46.35,69.79
2005,Uttarakhand,Transport,174.04,24.33,5.4,21.13,42.04,208.54,48.07,16103.35,38.17,153.8,49.75,42.21
2007,Punjab,Transport,258.71,46.04,17.68,460.28,229.46,116.36,20.38,59188.92,7.24,64.25,33.77,46.54
2004,Tamil Nadu,Transport,392.0,4.14,7.84,451.99,42.28,13.61,35.94,59879.25,1.54,78.19,74.45,32.04
2015,Tripura,Agriculture,139.58,47.88,5.64,474.95,275.21,156.89,19.89,18795.45,49.91,69.91,71.67,17.18
2017,Karnataka,Transport,192.07,11.21,5.53,415.79,277.22,182.14,32.86,46636.67,40.06,138.83,52.2,59.1
2005,Meghalaya,Waste,417.27,48.52,7.57,44.04,183.96,115.01,38.62,89965.9,41.8,142.65,85.78,42.3
2004,Punjab,Transport,387.34,27.3,4.95,313.28,275.88,127.16,31.96,12293.88,30.51,163.07,11.83,71.99
2015,Bihar,Industry,485.89,32.77,0.17,46.13,320.75,137.94,14.55,97577.32,10.67,135.32,37.6,20.66
2012,Sikkim,Waste,498.03,16.13,3.53,358.13,83.08,63.87,15.48,1814.26,2.16,181.51,67.99,15.88
2004,Sikkim,Industry,127.96,30.79,17.66,102.52,261.57,94.12,43.1,62658.67,37.59,48.27,92.33,41.92
2012,Tamil Nadu,Waste,451.22,35.69,1.61,468.23,278.48,201.91,28.25,56596.13,40.75,99.01,86.03,58.04
2016,Mizoram,Energy,56.31,1.01,8.32,467.41,81.81,8.45,45.09,2128.98,24.57,193.8,16.43,2.89
2017,Madhya Pradesh,Waste,357.8,2.19,9.18,299.33,292.12,139.67,21.0,62416.47,31.48,49.87,6.31,24.41
2007,Karnataka,Waste,117.85,49.33,15.59,377.57,289.22,8.91,13.24,79883.84,48.95,145.09,55.65,41.71
2012,Puducherry,Industry,157.15,23.15,5.13,429.79,67.11,51.21,30.45,6787.31,17.54,62.81,49.65,17.13
2018,Assam,Industry,473.7,46.82,6.26,197.63,130.38,93.85,44.51,50673.53,42.65,91.29,36.36,37.09
2002,Himachal Pradesh,Waste,138.94,36.63,0.38,291.7,376.76,47.42,25.12,73277.64,43.77,107.59,20.82,55.02
2023,Goa,Waste,339.86,18.96,18.07,92.13,33.1,212.28,13.96,79507.56,5.08,159.91,40.05,67.86
2007,Sikkim,Agriculture,97.28,7.97,13.74,492.82,95.43,217.68,11.15,82457.48,24.28,123.96,47.7,7.05
2001,Rajasthan,Energy,55.76,48.92,5.33,465.05,233.63,39.1,22.51,9076.37,29.4,0.2,29.54,8.56
2007,Karnataka,Energy,176.27,29.43,17.76,244.29,387.64,223.19,42.73,66687.09,8.09,67.31,1.32,78.31
2012,Meghalaya,Transport,315.86,10.02,1.82,278.9,106.57,58.27,14.36,72343.85,21.15,69.17,55.85,75.68
2012,Odisha,Waste,131.49,34.24,7.43,221.17,327.63,4.02,27.73,28200.63,23.2,98.05,95.69,57.2
2000,Uttarakhand,Waste,157.08,5.06,11.32,5.82,150.1,184.47,8.74,97544.44,14.61,181.4,34.8,45.65
2005,Chhattisgarh,Waste,357.28,43.47,10.16,118.85,144.23,130.04,37.18,72113.16,5.42,182.62,76.93,71.9
2023,Maharashtra,Waste,60.37,4.96,13.13,55.32,398.44,125.1,23.01,91789.9,18.08,91.97,89.51,60.24
2018,Mizoram,Energy,228.98,12.19,6.02,164.83,327.8,1.67,12.01,69713.15,30.96,145.13,43.4,49.1
2015,Assam,Industry,471.45,5.03,15.18,121.94,103.17,244.66,37.77,13876.91,19.2,70.75,36.18,65.15
2007,Bihar,Agriculture,204.52,5.64,8.17,382.01,78.33,208.31,36.43,26652.05,12.52,57.5,89.13,28.16
2000,Meghalaya,Industry,222.76,26.43,2.59,254.87,38.21,241.89,1.77,42907.25,10.72,92.53,10.61,3.62
2015,Meghalaya,Industry,371.72,34.51,14.83,409.41,195.67,61.67,22.14,43437.9,20.96,169.27,49.07,20.55
2008,Rajasthan,Energy,391.72,39.53,18.25,319.67,137.13,151.32,29.69,64915.09,48.44,104.22,64.49,72.07
2012,Uttar Pradesh,Agriculture,387.11,34.91,7.35,329.83,155.42,186.94,12.87,58343.68,31.9,94.48,67.38,68.17
2010,Tripura,Waste,498.95,18.49,11.83,438.74,175.41,201.03,2.91,9491.41,6.17,31.54,11.4,26.54
2012,Bihar,Energy,45.01,28.09,13.79,424.36,396.46,195.65,14.27,84214.54,7.76,148.55,11.24,55.39
2024,Odisha,Energy,491.3,46.42,16.65,36.33,6.13,143.51,43.37,85481.72,30.17,72.44,28.76,78.29
2020,Uttar Pradesh,Agriculture,475.59,19.69,4.04,291.28,173.3,8.87,17.03,85271.63,13.16,151.07,78.15,71.03
2009,Mizoram,Transport,427.55,12.99,11.44,209.48,30.66,248.5,39.36,22765.83,41.81,194.1,98.17,51.8
2003,Madhya Pradesh,Energy,232.52,26.21,14.83,301.82,270.84,29.6,35.14,32570.25,4.4,18.17,59.12,36.37
2005,Uttar Pradesh,Industry,436.74,15.22,4.06,432.01,24.92,46.02,47.93,73854.45,12.58,172.44,66.33,49.57
2006,Sikkim,Industry,118.21,13.46,9.5,10.96,307.9,206.28,43.61,41150.08,32.1,33.4,98.25,78.69
2004,Tamil Nadu,Waste,397.91,39.05,9.34,10.43,347.78,26.04,47.09,45298.67,33.18,173.78,23.18,25.6
2010,Uttar Pradesh,Energy,100.77,44.6,16.8,35.96,388.47,54.12,1.26,60087.76,35.96,145.45,9.37,7.61
2012,Telangana,Waste,409.53,25.36,15.57,438.07,52.74,6.06,14.93,4287.39,43.47,84.38,17.25,78.35
2024,West Bengal,Energy,311.12,39.1,4.72,179.97,391.66,40.01,43.65,4034.27,48.48,91.22,30.79,29.68
2018,Andhra Pradesh,Agriculture,58.04,9.76,4.74,188.76,167.87,165.08,18.7,6941.01,10.84,58.2,68.14,36.36
2022,Kerala,Energy,448.71,27.61,14.49,175.97,254.87,90.77,2.73,23054.79,13.69,139.83,30.27,26.55
2009,Bihar,Transport,293.2,31.99,14.82,119.33,5.02,34.65,46.44,98158.51,20.32,179.38,49.95,26.74
2009,Karnataka,Industry,331.56,24.79,3.66,24.24,151.25,66.74,22.65,10722.06,19.76,116.57,2.83,20.97
2010,Chhattisgarh,Agriculture,148.92,6.29,8.28,453.72,144.39,188.67,2.69,88509.96,18.32,58.77,93.91,29.87
2020,Arunachal Pradesh,Industry,437.1,36.84,16.53,120.27,204.0,139.65,14.26,12874.18,4.05,143.44,59.03,61.49
2006,Mizoram,Waste,277.15,42.03,1.68,447.5,57.37,119.53,42.8,73943.38,43.28,50.76,54.68,34.25
2017,Haryana,Agriculture,216.35,31.94,7.54,478.08,277.62,12.62,39.5,64026.87,33.51,53.15,74.52,55.04
2003,Goa,Transport,271.8,8.87,12.93,290.44,240.3,128.42,49.86,73080.57,39.58,127.58,94.88,52.88
2001,Rajasthan,Industry,354.62,4.19,15.44,189.28,88.93,120.9,22.06,9579.84,49.99,18.97,61.18,52.76
2013,Delhi,Energy,350.57,15.43,13.09,384.07,393.54,111.27,15.2,75430.3,24.98,79.19,67.93,62.47
2012,Himachal Pradesh,Energy,185.21,2.33,8.01,17.56,7.21,122.39,6.74,33346.34,7.52,73.67,27.93,59.07
2011,Madhya Pradesh,Energy,198.78,42.04,19.84,464.79,137.69,19.5,14.97,25929.56,41.82,10.58,82.41,34.86
2006,Karnataka,Agriculture,285.5,35.3,0.93,206.92,108.38,233.32,10.06,62831.27,37.39,183.61,78.82,22.49
2001,Delhi,Transport,462.96,28.4,9.95,157.76,226.22,77.23,33.43,10970.32,38.64,187.54,2.25,43.45
2012,Meghalaya,Transport,375.26,44.54,10.25,67.83,355.92,163.48,38.33,24889.4,8.89,79.46,77.79,28.25
2013,Meghalaya,Transport,201.3,5.95,4.87,477.81,264.82,90.39,40.2,55725.96,37.98,73.89,19.37,24.12
2016,Uttarakhand,Industry,175.15,35.87,11.22,406.46,23.8,82.66,37.63,78191.58,30.03,24.32,17.96,35.81
2008,Arunachal Pradesh,Agriculture,266.58,7.76,4.48,363.35,346.04,181.52,24.57,87022.29,3.48,112.51,32.95,40.08
2016,Jharkhand,Energy,436.3,3.52,8.92,465.83,109.71,105.27,19.68,43219.68,15.31,69.53,94.99,18.67
2007,Kerala,Industry,14.25,7.08,8.69,480.12,48.58,154.35,5.1,97626.21,11.79,168.57,59.1,63.21
2001,Haryana,Transport,358.14,47.57,15.49,137.88,175.86,69.28,28.97,77592.3,15.27,146.62,94.6,12.32
2023,Karnataka,Energy,154.31,22.3,18.86,394.33,359.99,67.1,22.7,40845.37,10.79,24.64,7.93,64.67
2012,Puducherry,Agriculture,112.11,2.93,4.14,384.66,18.66,50.57,12.24,39758.46,20.49,42.91,53.26,15.21
2002,Jharkhand,Waste,15.95,29.39,19.83,280.87,252.14,75.93,40.15,44542.55,11.63,23.62,50.55,44.5
2015,Madhya Pradesh,Transport,449.33,10.39,18.81,79.46,136.34,17.16,35.58,74972.39,20.41,27.14,44.3,12.35
2005,Tripura,Transport,457.0,0.84,2.34,470.47,250.92,20.37,28.45,32660.69,1.81,13.38,99.15,59.29
2018,Mizoram,Transport,40.09,38.04,18.26,161.11,110.21,213.37,10.11,11122.71,37.06,73.22,47.37,54.38
2006,Gujarat,Transport,265.69,8.17,11.34,291.55,387.0,70.69,28.54,56720.82,18.01,121.17,23.94,37.22
2009,Telangana,Energy,84.76,47.15,17.59,14.59,49.96,135.04,10.28,62068.99,15.09,192.62,64.4,64.09
2008,Assam,Agriculture,381.76,29.84,18.92,217.43,67.41,124.61,36.64,94092.5,43.09,84.86,24.76,29.36
2001,Puducherry,Industry,336.04,4.81,17.19,310.36,23.04,158.91,8.7,14325.36,37.69,190.37,13.26,24.06
2014,Punjab,Energy,155.59,11.28,8.12,193.58,319.02,162.34,37.0,53808.39,43.29,19.01,58.35,24.07
2004,Madhya Pradesh,Agriculture,67.31,30.74,12.77,241.17,42.11,92.33,27.08,22415.92,43.77,32.65,72.47,35.39
2021,Odisha,Industry,417.3,17.24,9.35,100.05,114.27,34.22,48.83,75868.16,36.75,80.39,45.2,34.39
2003,Gujarat,Transport,340.38,26.84,7.39,178.36,86.21,45.18,23.4,36027.72,3.82,78.73,32.27,22.31
2019,Himachal Pradesh,Agriculture,13.34,40.08,5.09,363.07,144.65,90.47,12.06,64156.62,5.69,3.46,15.39,68.02
2003,Odisha,Transport,317.66,39.73,8.89,485.01,307.48,140.47,42.0,18067.98,4.59,11.85,80.19,70.21
2017,Madhya Pradesh,Agriculture,407.05,35.05,16.14,237.05,380.33,153.95,29.06,58528.48,13.15,65.14,89.14,59.39
2003,Sikkim,Waste,299.48,44.36,16.9,344.59,352.15,233.16,26.89,2511.66,43.33,62.7,25.39,28.39
2016,Haryana,Transport,218.11,10.37,19.16,488.21,337.26,77.0,5.35,84233.85,2.88,57.19,42.88,48.37
2011,Sikkim,Transport,296.12,9.27,5.88,388.52,169.9,28.21,19.1,59451.56,3.77,104.63,30.73,15.22
2021,Nagaland,Transport,313.66,40.07,13.04,10.01,321.72,134.88,0.33,22830.45,6.76,39.73,83.09,42.83
2016,Delhi,Energy,323.62,16.38,13.91,468.09,311.97,17.58,10.86,34120.71,29.34,101.23,92.23,10.51
2009,Tamil Nadu,Industry,483.85,25.85,3.91,433.95,102.77,42.24,26.3,15847.65,16.64,10.15,15.23,16.2
2021,Arunachal Pradesh,Transport,97.54,37.33,7.4,139.2,108.65,138.98,23.72,67628.07,47.1,99.58,3.75,49.44
2000,Nagaland,Transport,315.32,20.1,6.91,94.87,202.1,231.19,28.41,38092.75,7.63,149.62,8.65,39.53
2021,Nagaland,Energy,102.12,6.94,19.72,450.12,385.57,49.69,43.42,95477.95,40.42,184.55,29.12,66.66
2023,Karnataka,Energy,112.88,34.13,19.17,345.9,47.62,91.26,13.08,89574.37,32.6,179.05,72.46,68.62
2017,Andhra Pradesh,Waste,337.94,40.95,16.45,122.31,395.42,111.27,33.88,81600.85,33.01,129.41,32.72,7.06
2017,Maharashtra,Agriculture,458.82,1.13,9.51,358.37,67.78,238.42,27.6,27225.36,18.24,196.48,98.42,7.92
2013,Meghalaya,Transport,87.93,28.35,5.36,302.11,196.82,184.17,41.04,29850.24,1.22,73.3,8.65,73.28
2014,Karnataka,Agriculture,481.61,23.74,18.33,158.06,125.07,83.71,13.44,41476.54,18.96,138.63,67.18,42.43
2011,Andhra Pradesh,Energy,166.49,13.35,5.43,280.6,170.8,68.57,49.52,91909.64,30.47,197.84,46.26,1.53
2003,Puducherry,Energy,201.74,8.47,10.49,266.0,383.34,130.11,33.23,47894.22,37.13,138.95,31.02,64.02
2002,Gujarat,Waste,85.3,9.81,4.98,257.34,254.56,95.96,2.12,10484.91,28.1,51.82,56.14,62.7
2019,Delhi,Industry,311.76,36.39,19.43,261.1,122.52,154.58,0.33,24098.58,49.07,162.54,24.84,38.19
2011,Meghalaya,Energy,302.25,27.04,0.93,5.2,253.23,134.15,43.41,5713.29,29.74,70.06,61.47,73.35
2006,Puducherry,Transport,226.71,49.07,3.57,137.97,183.6,9.41,13.16,6691.6,5.07,56.41,99.5,45.87
2010,Maharashtra,Waste,243.28,12.54,15.32,218.28,377.63,19.54,11.93,92365.54,42.9,165.49,31.28,35.41
2000,Manipur,Industry,315.26,47.87,3.11,67.99,144.37,34.38,27.53,62081.7,32.99,80.22,37.27,34.61
2005,Maharashtra,Waste,295.91,26.0,19.59,375.84,235.87,163.04,8.55,11029.9,26.34,129.11,86.92,43.02
2014,West Bengal,Energy,193.39,7.73,6.49,424.21,340.52,244.34,14.5,58785.74,39.18,173.58,35.96,17.06
2014,Rajasthan,Industry,443.22,7.83,18.38,409.8,383.74,113.7,25.85,97164.52,34.82,30.54,91.11,22.85
2018,Karnataka,Agriculture,337.15,30.62,13.28,232.52,320.67,38.2,49.1,2503.74,47.49,122.99,69.87,30.23
2010,Meghalaya,Industry,110.65,41.66,12.72,346.9,374.54,152.9,7.74,74759.3,23.75,35.96,2.03,12.46
2022,Odisha,Transport,166.75,37.51,18.32,43.06,188.19,156.73,2.19,18459.7,35.83,120.77,37.81,12.9
2001,Mizoram,Agriculture,396.06,32.95,10.31,103.7,306.98,189.18,35.43,38332.52,23.5,98.13,38.62,7.62
2013,Uttarakhand,Agriculture,61.22,9.02,8.08,28.23,42.39,177.75,30.85,12295.54,14.62,174.63,24.53,73.46
2001,Uttar Pradesh,Transport,377.61,5.86,4.43,482.89,239.56,172.27,15.73,1639.38,16.66,180.17,58.82,72.67
2003,Goa,Agriculture,185.83,0.51,2.98,289.28,10.33,181.49,14.04,10942.71,30.01,154.09,4.17,73.22
2016,Karnataka,Energy,280.33,5.54,15.86,91.74,107.72,204.99,43.41,57705.47,9.84,125.73,59.69,74.59
2002,Mizoram,Industry,147.47,38.44,2.65,355.24,267.9,223.97,16.13,90208.3,25.76,56.6,55.78,20.99
2012,Himachal Pradesh,Industry,493.36,44.81,7.94,247.12,72.77,1.85,29.69,3132.29,34.98,97.57,69.11,61.26
2008,Nagaland,Transport,453.86,12.4,8.24,219.96,84.06,166.89,21.33,7222.15,27.29,30.92,53.9,39.22
2006,Mizoram,Energy,464.94,39.85,13.32,457.16,29.38,235.36,26.42,17125.35,28.56,1.59,33.41,1.0
2014,Kerala,Agriculture,100.54,10.34,5.64,355.56,300.22,189.71,44.42,97335.28,11.41,113.41,97.02,66.49
2022,Tamil Nadu,Industry,422.43,12.84,16.78,346.88,181.94,21.26,22.44,17851.93,33.23,52.43,13.38,55.73
2010,Sikkim,Industry,272.34,11.6,4.23,53.17,355.74,184.34,41.29,47474.03,30.27,55.88,74.33,56.72
2019,Sikkim,Industry,356.85,3.06,15.8,50.55,148.09,63.9,30.15,5144.38,27.14,35.66,20.64,60.48
2001,Puducherry,Industry,116.58,10.11,17.01,333.89,176.93,46.83,18.24,85217.63,35.11,15.5,6.31,23.94
2014,Chhattisgarh,Waste,358.87,18.99,3.94,82.46,200.49,51.6,1.34,94806.57,35.35,49.75,76.64,42.03
2013,Karnataka,Transport,457.99,20.57,16.21,229.36,345.06,243.06,33.41,75866.38,34.91,46.91,85.79,31.92
2019,Bihar,Agriculture,141.07,15.82,14.3,287.05,120.41,165.12,34.86,56763.57,7.89,82.54,12.24,53.28
2021,Uttarakhand,Agriculture,124.35,25.98,17.5,197.1,25.37,244.49,49.65,25637.38,29.86,15.24,52.65,45.53
2010,Bihar,Transport,61.16,19.21,10.25,47.15,252.74,211.95,35.58,18709.52,35.24,92.81,72.87,10.49
2002,Assam,Energy,140.74,48.53,4.75,372.96,331.15,231.3,41.01,52044.53,30.81,11.03,38.22,26.86
2016,Uttar Pradesh,Transport,272.54,40.46,18.25,443.09,224.72,139.18,8.45,29766.86,10.45,39.16,44.28,35.75
2011,Telangana,Industry,418.03,46.58,15.82,85.03,131.59,87.84,38.17,67374.19,2.17,168.65,97.74,32.1
2023,Tamil Nadu,Industry,146.61,28.09,0.52,427.78,254.04,184.89,17.66,27244.26,30.82,12.76,72.94,43.86
2020,Tripura,Transport,314.36,34.08,18.79,395.4,396.45,5.5,49.0,17851.86,11.8,20.95,92.17,3.55
2014,Mizoram,Transport,245.0,8.75,18.98,284.11,231.75,161.29,22.64,58573.34,41.55,116.87,43.29,37.76
2015,Gujarat,Agriculture,151.4,37.76,7.17,300.07,129.51,239.16,23.3,76323.13,46.83,52.57,47.64,13.45
2004,Uttar Pradesh,Agriculture,260.08,12.18,0.3,327.53,101.23,211.62,24.93,8302.64,42.09,154.68,96.98,9.95
2019,Bihar,Waste,92.3,7.72,11.1,264.76,399.3,48.18,15.46,62292.99,9.35,85.45,42.8,16.85
2005,Tamil Nadu,Waste,323.39,2.57,18.28,422.95,340.92,32.88,19.04,81734.48,41.1,114.55,41.26,73.15
2018,Madhya Pradesh,Industry,66.67,23.88,2.58,239.68,115.4,206.79,19.68,1627.45,9.75,22.11,69.77,2.93
2024,Kerala,Waste,368.18,14.7,11.85,275.79,108.67,14.29,25.7,23169.17,15.61,139.48,4.53,72.42
2004,Andhra Pradesh,Waste,97.08,49.34,14.66,23.2,322.45,248.83,7.15,30559.14,41.58,189.34,44.48,46.1
2002,Rajasthan,Energy,499.1,12.87,2.78,94.13,396.95,117.38,29.92,2390.51,8.12,192.13,93.94,68.18
2000,Odisha,Transport,413.6,43.39,10.31,452.37,188.91,231.97,27.0,68120.77,10.2,129.87,89.67,54.38
2005,Rajasthan,Agriculture,178.48,16.16,1.87,65.18,94.77,203.01,49.11,42519.15,42.41,16.5,66.07,9.64
2014,Punjab,Waste,218.84,37.58,11.21,452.5,95.99,174.65,43.73,65090.37,49.37,171.74,44.4,35.28
2001,Nagaland,Agriculture,137.0,33.16,8.9,319.78,319.95,52.23,23.18,41088.06,32.16,198.67,51.1,74.06
2002,Karnataka,Waste,385.89,28.31,5.37,460.46,243.98,22.33,34.93,18219.57,31.25,26.92,26.67,71.51
2016,Punjab,Waste,196.56,21.13,17.08,408.08,255.33,164.26,32.82,52060.69,27.49,165.82,20.55,70.8
2024,Assam,Industry,380.04,33.72,7.7,433.32,81.76,48.25,11.82,72601.82,12.98,31.11,26.97,53.8
2023,Delhi,Energy,19.02,20.66,14.03,264.57,56.54,207.35,16.71,16315.34,2.85,89.49,90.23,22.68
2011,Mizoram,Transport,76.45,27.63,15.83,413.52,9.2,17.71,1.77,36021.21,23.06,184.95,25.8,70.7
2017,Kerala,Transport,188.84,29.7,3.65,232.96,366.5,131.44,4.88,73711.0,42.5,186.42,46.99,77.71
2014,Jharkhand,Industry,63.37,13.73,2.47,26.87,145.22,106.09,15.55,65982.69,44.54,110.52,71.69,12.84
2011,Haryana,Industry,304.55,17.32,0.26,327.42,304.4,231.29,38.93,99954.78,25.77,187.28,74.22,32.37
2015,Manipur,Transport,34.91,1.39,6.19,365.58,354.36,224.73,35.81,18174.59,47.04,7.55,31.1,13.2
2007,Chhattisgarh,Transport,431.28,42.68,16.34,55.27,241.43,180.35,48.22,35064.45,28.63,137.23,25.95,77.32
2013,Bihar,Energy,383.04,37.92,15.48,408.87,172.58,189.07,18.39,20610.95,38.21,85.65,37.09,14.03
2024,Uttar Pradesh,Waste,115.97,9.58,17.45,42.21,20.27,176.93,17.21,25171.36,22.65,110.77,10.18,44.46
2016,West Bengal,Energy,247.06,18.42,15.24,223.6,138.17,169.03,5.24,20375.29,5.02,38.71,54.61,65.55
2020,Rajasthan,Transport,231.39,21.34,0.58,246.52,132.04,249.24,39.4,98920.39,42.05,40.35,73.15,17.64
2007,Punjab,Waste,365.18,17.05,7.77,23.19,228.71,184.28,8.35,64988.8,47.21,145.88,23.59,31.47
2014,Odisha,Transport,206.74,40.01,0.22,37.57,306.81,236.45,47.67,9379.59,36.45,153.61,9.1,16.74
2013,Rajasthan,Energy,26.14,36.41,0.82,228.07,285.88,109.87,15.86,52535.79,21.04,128.07,84.43,66.53
2017,Bihar,Energy,144.13,38.47,9.62,159.07,348.62,249.53,32.4,9199.23,43.16,69.13,88.3,18.45
2019,Manipur,Energy,238.44,45.25,7.26,408.87,23.5,154.0,22.58,39662.45,31.92,141.21,86.09,38.12
2006,Mizoram,Waste,487.5,29.96,11.21,209.86,243.98,226.33,11.29,64373.97,1.14,103.59,42.45,57.58
2002,Kerala,Agriculture,441.77,30.92,1.42,57.24,79.66,23.64,22.85,5697.97,46.83,140.21,14.28,75.64
